epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.436,1.7212,3.21834,1.45558,0.01504,0.95789,0.24998,0.13281,1.49888,2.96119,1.2371,0.0001125,0.0001125,0.0001125
2,17.6309,1.28391,2.97086,1.24314,0.01534,0.96623,0.26879,0.18047,0.99276,2.96106,1.01538,0.00023703,0.00023703,0.00023703
3,24.8096,1.17515,2.54496,1.17004,0.01557,0.95789,0.30668,0.21099,1.05332,2.66781,1.04096,0.000361065,0.000361065,0.000361065
4,31.5669,1.25446,2.28862,1.29481,0.0155,0.95789,0.33899,0.23645,1.06031,2.59015,1.05882,0.000484604,0.000484604,0.000484604
5,38.4857,1.18089,2.10558,1.26015,0.47119,0.17191,0.33507,0.22936,1.10249,2.48583,1.15114,0.000607649,0.000607649,0.000607649
6,45.8563,1.23828,2.02945,1.2495,0.48556,0.32683,0.36271,0.25326,1.09945,2.34304,1.17833,0.000730199,0.000730199,0.000730199
7,53.2159,1.19009,1.8865,1.26162,0.47527,0.42139,0.38351,0.26969,1.08976,2.28309,1.19281,0.000852254,0.000852254,0.000852254
8,60.5358,1.1836,1.80022,1.23481,0.42931,0.54685,0.49128,0.34603,1.09128,2.1044,1.20742,0.000973813,0.000973813,0.000973813
9,67.5748,1.20856,1.83203,1.23978,0.40363,0.85746,0.55269,0.3623,1.15188,1.47804,1.27159,0.00109488,0.00109488,0.00109488
10,73.6519,1.14928,1.65206,1.22183,0.42605,0.86503,0.63501,0.4459,1.09983,1.5367,1.17453,0.00121545,0.00121545,0.00121545
11,80.4029,1.16337,1.66242,1.22992,0.5584,0.92442,0.79093,0.56397,1.082,1.56753,1.16972,0.00122525,0.00122525,0.00122525
12,87.6244,1.17855,1.70973,1.2509,0.47714,0.92735,0.8113,0.58377,1.07363,2.07204,1.14129,0.00122277,0.00122277,0.00122277
13,93.862,1.16898,1.5931,1.1987,0.47714,0.92735,0.8113,0.58377,1.07363,2.07204,1.14129,0.0012203,0.0012203,0.0012203
14,100.323,1.16883,1.36842,1.1796,0.77085,0.79436,0.91198,0.65336,1.06959,1.48913,1.15167,0.00121783,0.00121783,0.00121783
15,107.688,1.18627,1.49239,1.26468,0.8585,0.86548,0.92237,0.64068,1.14022,1.09591,1.19315,0.00121535,0.00121535,0.00121535
16,114.521,1.14492,1.31381,1.20691,0.87816,0.8829,0.91295,0.63971,1.13743,1.13781,1.19473,0.00121287,0.00121287,0.00121287
17,121.36,1.12105,1.19987,1.185,0.87816,0.8829,0.91295,0.63971,1.13743,1.13781,1.19473,0.0012104,0.0012104,0.0012104
18,128.139,1.11651,1.10717,1.19799,0.84562,0.88875,0.9027,0.63556,1.12078,1.13479,1.19458,0.00120793,0.00120793,0.00120793
19,135.061,1.16276,1.16989,1.2601,0.78726,0.84257,0.86723,0.62138,1.10692,1.11589,1.18149,0.00120545,0.00120545,0.00120545
