epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8964,1.52954,3.10861,1.42125,0.01617,1,0.34446,0.24384,0.95762,2.92692,0.96848,0.00015,0.00015,0.00015
2,17.9517,1.24804,2.58795,1.26507,0.01615,1,0.34896,0.24537,0.94981,2.65245,0.96922,0.000311881,0.000311881,0.000311881
3,25.4366,1.15763,2.13597,1.25185,0.01766,1,0.36849,0.2523,1.05386,2.33221,1.005,0.000473119,0.000473119,0.000473119
4,32.3735,1.17431,1.92943,1.2689,0.38676,0.37633,0.4157,0.28872,1.02496,2.16686,1.02427,0.000633713,0.000633713,0.000633713
5,40.4057,1.17686,1.77728,1.24222,0.67106,0.69918,0.67748,0.47131,1.0633,1.67455,1.0626,0.000793664,0.000793664,0.000793664
6,47.1042,1.12829,1.54898,1.2536,0.5889,0.80133,0.82372,0.58869,1.07332,1.38299,1.05618,0.000952971,0.000952971,0.000952971
7,54.4603,1.08164,1.42877,1.21858,0.73132,0.86664,0.99071,0.70761,1.0211,1.10871,1.05437,0.00111163,0.00111163,0.00111163
8,61.1084,1.14338,1.2935,1.24322,0.55237,0.95141,0.98216,0.67264,1.06348,1.3266,1.08878,0.00123268,0.00123268,0.00123268
9,67.9917,1.12138,1.30289,1.25422,0.86458,0.8327,0.94632,0.6802,1.0749,1.12987,1.06577,0.0012302,0.0012302,0.0012302
10,74.7447,1.15316,1.24463,1.25224,0.94771,0.95629,0.98249,0.71373,1.02128,1.06484,1.07872,0.00122773,0.00122773,0.00122773
11,81.4539,1.0768,1.17577,1.22233,0.98398,0.9878,0.99292,0.7041,1.03386,0.92185,1.10708,0.00122525,0.00122525,0.00122525
12,88.0134,1.07399,1.11091,1.16196,0.97937,0.93545,0.98606,0.7141,1.01268,0.85621,1.05531,0.00122277,0.00122277,0.00122277
13,94.7598,1.05536,1.02466,1.15584,0.94452,0.96475,0.99457,0.70535,1.04205,0.81602,1.09425,0.0012203,0.0012203,0.0012203
14,101.654,1.06363,1.1071,1.20291,0.98343,0.99866,0.995,0.72559,0.97023,0.8616,1.02994,0.00121783,0.00121783,0.00121783
15,108.51,1.07653,0.98596,1.16552,0.98554,1,0.995,0.72199,0.98168,0.76051,1.05482,0.00121535,0.00121535,0.00121535
16,116.148,1.05351,1.02522,1.19436,0.99429,1,0.995,0.71545,1.02593,0.77577,1.06036,0.00121287,0.00121287,0.00121287
17,123.754,1.04954,0.97002,1.16404,0.98889,1,0.995,0.73693,0.96256,0.69422,1.06894,0.0012104,0.0012104,0.0012104
18,130.384,1.05256,0.98399,1.13756,0.99169,0.99836,0.995,0.72092,1.03662,0.70956,1.06673,0.00120793,0.00120793,0.00120793
19,137.564,1.03945,0.93917,1.13405,0.99143,0.99852,0.995,0.72866,0.96838,0.67824,1.03182,0.00120545,0.00120545,0.00120545
20,144.537,1.02091,0.92262,1.1151,0.98659,1,0.995,0.73258,1.01943,0.63692,1.05138,0.00120298,0.00120298,0.00120298
21,150.812,1.06215,1.00688,1.15646,0.99008,1,0.995,0.7314,0.92258,0.60932,1.03123,0.0012005,0.0012005,0.0012005
22,157.71,0.97817,0.88929,1.1215,0.98103,1,0.995,0.73496,0.97735,0.58952,1.03019,0.00119802,0.00119802,0.00119802
23,164.621,1.02271,0.90377,1.13547,0.98252,1,0.995,0.72761,1.00637,0.64165,1.03724,0.00119555,0.00119555,0.00119555
24,171.826,1.01509,0.89951,1.1381,0.99115,1,0.995,0.73655,0.98499,0.67329,1.03845,0.00119308,0.00119308,0.00119308
25,178.372,1.05831,0.96455,1.15433,0.98184,1,0.995,0.74026,0.94801,0.66522,1.04999,0.0011906,0.0011906,0.0011906
26,185.498,1.0093,0.87451,1.14355,0.98874,1,0.995,0.74781,0.94544,0.59613,1.06748,0.00118812,0.00118812,0.00118812
27,192.264,1.02999,0.92883,1.1463,0.99408,1,0.995,0.74496,0.95717,0.59609,1.05981,0.00118565,0.00118565,0.00118565
28,199.086,1.00263,0.82271,1.11981,0.99022,1,0.995,0.73204,0.92703,0.57659,1.04126,0.00118317,0.00118317,0.00118317
29,205.668,1.01547,0.86302,1.12035,0.98103,0.99059,0.99398,0.73319,0.90792,0.61358,1.03996,0.0011807,0.0011807,0.0011807
30,212.212,0.94982,0.76323,1.10174,0.9886,0.99811,0.995,0.7385,0.93866,0.56815,1.06004,0.00117822,0.00117822,0.00117822
31,219.051,1.01994,0.88209,1.14327,0.98107,1,0.995,0.74139,0.91234,0.57161,1.04067,0.00117575,0.00117575,0.00117575
32,225.67,1.0028,0.87318,1.13082,0.99688,1,0.995,0.73162,0.94533,0.53919,1.03,0.00117327,0.00117327,0.00117327
33,232.877,1.00617,0.87818,1.11786,0.99565,1,0.995,0.74405,0.9263,0.5333,1.01441,0.0011708,0.0011708,0.0011708
34,240.124,0.92336,0.84979,1.07115,0.99553,1,0.995,0.75285,0.90589,0.53038,1.01398,0.00116833,0.00116833,0.00116833
35,247.583,0.95151,0.75456,1.08102,0.99526,1,0.995,0.73859,0.93555,0.53092,1.0421,0.00116585,0.00116585,0.00116585
36,254.404,0.94597,0.7839,1.09403,0.99509,1,0.995,0.74395,0.91266,0.54145,1.03298,0.00116337,0.00116337,0.00116337
37,261.099,0.95726,0.80518,1.10549,0.9937,1,0.995,0.75064,0.92424,0.56889,1.02897,0.0011609,0.0011609,0.0011609
38,267.867,0.94635,0.74694,1.09452,0.99455,1,0.995,0.75781,0.91309,0.52707,1.04681,0.00115843,0.00115843,0.00115843
39,275.75,0.94719,0.78724,1.10923,0.98198,1,0.995,0.75252,0.93742,0.55253,1.0426,0.00115595,0.00115595,0.00115595
40,283.378,0.95014,0.76706,1.09602,0.98876,1,0.995,0.74722,0.93423,0.5887,1.02584,0.00115348,0.00115348,0.00115348
41,290.464,0.9714,0.78245,1.10947,0.99467,1,0.995,0.73964,0.98815,0.55252,1.0393,0.001151,0.001151,0.001151
42,297.872,0.96826,0.80141,1.11022,0.99654,1,0.995,0.75269,0.97061,0.52762,1.03373,0.00114853,0.00114853,0.00114853
43,304.965,0.96436,0.79157,1.10034,0.98623,1,0.995,0.729,0.9818,0.52726,1.03771,0.00114605,0.00114605,0.00114605
44,312.24,0.98686,0.79533,1.10333,0.98883,0.99994,0.995,0.75116,0.95163,0.49984,1.02607,0.00114357,0.00114357,0.00114357
45,318.986,0.96294,0.7531,1.09344,0.995,1,0.995,0.75285,0.93462,0.49142,1.02617,0.0011411,0.0011411,0.0011411
46,326.234,0.97892,0.75063,1.12334,0.98885,1,0.995,0.76969,0.92103,0.50317,1.00372,0.00113863,0.00113863,0.00113863
47,332.942,0.94871,0.72634,1.0893,0.98916,1,0.995,0.76168,0.91368,0.5039,0.98664,0.00113615,0.00113615,0.00113615
48,340.558,0.9602,0.69671,1.06804,0.98966,1,0.995,0.7472,0.93992,0.4604,1.00344,0.00113368,0.00113368,0.00113368
49,347.946,0.98327,0.75946,1.10083,0.99434,1,0.995,0.74246,0.96758,0.4696,1.04345,0.0011312,0.0011312,0.0011312
50,355.042,0.95434,0.7641,1.10014,0.99501,1,0.995,0.74293,0.99882,0.48198,1.05726,0.00112873,0.00112873,0.00112873
51,362.053,0.94499,0.74662,1.08044,0.99056,1,0.995,0.75301,0.91108,0.49618,1.02754,0.00112625,0.00112625,0.00112625
52,368.958,0.9853,0.72765,1.12294,0.99327,0.99954,0.995,0.75966,0.90725,0.4612,1.01592,0.00112378,0.00112378,0.00112378
53,375.221,0.92811,0.76673,1.10099,0.99097,0.99854,0.995,0.75196,0.92459,0.47151,1.0217,0.0011213,0.0011213,0.0011213
54,381.605,0.90335,0.66422,1.05947,0.99159,0.99867,0.995,0.77117,0.89209,0.46105,1.00081,0.00111882,0.00111882,0.00111882
55,388.548,0.93089,0.746,1.08799,0.99321,1,0.995,0.75113,0.93082,0.48953,1.01836,0.00111635,0.00111635,0.00111635
56,395.144,0.89563,0.69587,1.06782,0.99608,1,0.995,0.75353,0.93504,0.50381,1.02685,0.00111388,0.00111388,0.00111388
57,402.285,0.91955,0.66894,1.06546,0.9951,0.9962,0.995,0.75929,0.89375,0.49451,1.01047,0.0011114,0.0011114,0.0011114
58,408.899,0.92644,0.70008,1.08666,0.99312,1,0.995,0.74662,0.96585,0.51002,1.02625,0.00110892,0.00110892,0.00110892
59,415.999,0.91641,0.67873,1.06996,0.98071,0.9982,0.995,0.77249,0.93291,0.50361,1.00915,0.00110645,0.00110645,0.00110645
60,423.216,0.9181,0.67481,1.0676,0.97675,0.99778,0.995,0.78348,0.85641,0.46991,0.99478,0.00110397,0.00110397,0.00110397
61,430.735,0.94881,0.72129,1.08554,0.98008,0.99778,0.995,0.7615,0.93526,0.48189,1.01437,0.0011015,0.0011015,0.0011015
62,438.024,0.92903,0.73191,1.08472,0.97744,0.9992,0.995,0.76628,0.89593,0.48931,1.00992,0.00109903,0.00109903,0.00109903
63,445.819,0.95587,0.71085,1.07088,0.98164,0.97871,0.99417,0.74944,0.88651,0.49273,1.02126,0.00109655,0.00109655,0.00109655
64,452.736,0.93461,0.66323,1.06461,0.9752,0.98622,0.9921,0.75387,0.86485,0.48175,1.00731,0.00109408,0.00109408,0.00109408
65,460.728,0.92224,0.67655,1.08448,0.97596,0.99684,0.995,0.74784,0.95227,0.52287,1.01156,0.0010916,0.0010916,0.0010916
66,467.417,0.89492,0.64947,1.07753,0.98908,0.99053,0.995,0.75173,0.93533,0.50908,1.00577,0.00108913,0.00108913,0.00108913
67,474.496,0.92305,0.63322,1.06688,0.99592,0.99914,0.995,0.76756,0.87112,0.44493,0.99174,0.00108665,0.00108665,0.00108665
68,481.523,0.90779,0.63846,1.04938,0.99635,1,0.995,0.75664,0.9223,0.4362,1.00025,0.00108417,0.00108417,0.00108417
69,488.268,0.89067,0.63781,1.05729,0.99698,1,0.995,0.76017,0.92712,0.43535,0.99116,0.0010817,0.0010817,0.0010817
70,495.424,0.90086,0.63165,1.05816,0.99609,1,0.995,0.76361,0.90906,0.45123,0.98675,0.00107923,0.00107923,0.00107923
71,502.734,0.90441,0.6356,1.06264,0.99711,0.99964,0.995,0.76009,0.92221,0.45332,1.00468,0.00107675,0.00107675,0.00107675
72,509.657,0.89907,0.63484,1.05597,0.99752,1,0.995,0.76611,0.9192,0.45765,1.00796,0.00107427,0.00107427,0.00107427
73,516.639,0.91037,0.72284,1.07335,0.99527,1,0.995,0.7504,0.95623,0.45276,1.02288,0.0010718,0.0010718,0.0010718
74,524.195,0.91667,0.64279,1.06537,0.9926,0.99824,0.995,0.74009,0.9868,0.48114,1.03917,0.00106933,0.00106933,0.00106933
75,531.548,0.87706,0.62026,1.04649,0.98992,0.99714,0.995,0.77464,0.88217,0.47388,1.00745,0.00106685,0.00106685,0.00106685
76,538.534,0.90248,0.62387,1.06891,0.99314,1,0.995,0.77546,0.9225,0.44989,1.01419,0.00106437,0.00106437,0.00106437
77,545.802,0.85936,0.58902,1.0393,0.99511,0.99282,0.995,0.76786,0.92235,0.45229,1.00583,0.0010619,0.0010619,0.0010619
78,553.166,0.90672,0.67169,1.08412,0.99492,0.99375,0.995,0.77995,0.85336,0.4291,0.97925,0.00105942,0.00105942,0.00105942
